スレ数,ID,コメント,投稿時刻
10,ID:IaEsHKpX0,●質問や考察についての注意　  同一スレ内で同じ質問が頻発すると辛辣な回答が返ってくる事が多々あります。  お互い無用な衝突を避ける為に過去レスや原作をよく読み返して、自己解決に努めましょう。   ◆よくある質問  Q.ライザの白笛ってトーカ？  A.トーカと結婚した時点で今の物と同じ白笛を持っている事、トーカが死んだのは四層より上であり、条件を満たすのは困難と思われます。  Q.オーゼンの言うあの子って？  A.ライザがリコの育児係に指名したジルオと思われます。  Q.祈手って全員ゾアホ？  A.自ら黎明卿の理想に身を捧げた者が祈り手になるようです。  精神を植え付けられても、自我を切り替えて独立化する事も可能なようです。  Q.ゾアホリックは破壊されたの？  A.ニコ生情報によれば「プルシュカの願いを汲んだので、破壊していない」との事。  考察は諸説ある。  Q.トコシエソウ？  A.トコシエコウ←  ぬ,2019/01/04 18:57:48
11,ID:IaEsHKpX0,◆悠遠語考察  ハディマエ:ああ、おっと、感嘆符も表している  インデブ:嘘のようだけど本当(6割)、感動(4割)  ハニいすく・ハニースク:寝床とヒトの食事 、おやど  ジャコぷふ:頼む(4割)、特別(3割)、刺激(3割)  イルぶる:村(5割)、揺りかご(4割)、母(1割)  コンぼす:了解  マェン:甘めの肯定(そうだよ、程度？)  ンガム:甘めの否定(違うよ、程度？)  イェンメェ:ありがとう(8割)  リェゾーチ:ごめんなさい  ミミウ:ちょっと失礼  ファモ:またね  ラホッス:してほしい、おねがい  サンサイカ:行きたい  ケフケフェリ？:どのくらいの価値？  ｼｭｶｴｲｷﾞｨﾂｺﾞｯｼｭｿｽ:私を買うと破産します  ｺﾌﾞﾁｬｯｷｭｳｼﾞﾝｼｰﾂﾌｧｯﾌ:君はロボとふわふわを知っているか？  ﾗﾎｯﾁｭｿｽｼﾞﾝｼｰﾂﾌｧｯﾌ:ロボおよびふわふわを求めています  んガンガ:いやその  までぃも:わかんない  めんメェ:おいで  ハグン:けむり  ハク:たからもの  ブルーそう:こんにちは  クグふぁもホンでいっそす:こどもはかわいいですね  ファッツェンぶれェ:いくぜ皆のもの  インデまぇン:もちろんだよ  ウィーゴリィイー:押さえつけて  サゾンファッツ:鉄線隊  メポポホン:居眠りさん  クベキャサス:焼いた材料(クベク)すする(ヤッサス)ぬ,2019/01/04 18:58:20
12,ID:IaEsHKpX0,◆新規固有名詞 (暫定)  ドグープ:目の奥(血の家？)  ファプタ:姫  メディポー:楽器  メディポトゥート:ヒト結晶の楽器  ゾーム:呪い   ◆えろこさんテンプレ  7巻P156　ヴエロエルコの重なった文字解読  https://i.imgur.com/LhiesoQ.png  「踏みにじられた」「わたしの」「かわいそうな」「かわいい」   ◆劇場版テンプレ  劇場版総集編　【前編】旅立ちの夜明け  2019年1月4日（金）公開   劇場版総集編　【後編】 放浪する黄昏  2019年1月18日（金）公開   ◆履歴のグラフ化  https://i.imgur.com/595JZMz.png  https://i.imgur.com/VzwWw8y.png  https://i.imgur.com/MP3i2BZ.png  ぬ,2019/01/04 18:58:51
13,ID:qfPsYHU+d,1/1000の祝福を受けてるナナチがいますね…  357 【神】 【774円】 (ﾜｯﾁｮｲWW fd54-0LZE [126.225.90.77]) sage 2019/01/02(水) 04:08:57.18 ID:LaMHKx0X0  （θωθ）んなぁ～ふわふわのぬいぐるみだぞ,2019/01/04 18:59:32
14,ID:IaEsHKpX0,テンプレは以上そす？  >>1 スレ立て乙そす  ファプタをすこるそす,2019/01/04 18:59:34
15,ID:mNAvAzSqd,映画館来てる、初日だからかさすがに人多い、こんなにいるんかアビスファン。,2019/01/04 19:05:27
16,ID:hmE09ery0,え？もう映画やってんの？,2019/01/04 19:09:12
17,ID:rfYvPaPM0,ガンジャ隊もリコさん隊もそうだけど  やっぱり行くだけだったらそこまで難易度高くないんだろうな  やっぱり負荷がかかる分昇るのが難しいんだろう,2019/01/04 19:16:40
18,ID:EdH+We07a,6層来ちゃったら昇るのは諦めてるだろ普通は,2019/01/04 19:17:58
19,ID:hPuRcPhC0,この穴降りるもの一切の希望を捨てよ,2019/01/04 19:19:40
20,ID:rUk1kuzS0,深き魂の黎明って副題も総集編と同じくつくし卿が考えたんだろうか,2019/01/04 19:20:37
21,ID:JMsKSfYU0,特急遺物 ナナチのしっぽアクセ,2019/01/04 19:21:27
22,ID:WbiPqr7oa,今日から公開で舞台挨拶が明日だよな 行き忘れたかと思って慌ててしまった,2019/01/04 19:22:19
23,ID:f94GhUzA0,劇場でプルシュカの回想なんて観た日にはあまりのエモさっぷりにおねえさん成れ果てちまうよ,2019/01/04 19:26:07
24,ID:bXxg/GOj0,平衡感覚の喪失とかはともかく  穴という穴から出血って鍛えて何とかなるもんなの,2019/01/04 19:30:25
25,ID:b1ThkN8ar,TVじゃないのかー新規は望めないなーと残念がりつつ  劇場版なら分かってる奴しか観に行かないからやりたい放題描写できるな！と嬉しくもある,2019/01/04 19:31:38
26,ID:e9m82+Rf0,まあこの先は劇場版だったことは予感してた  そもそも2期やるだけの尺がまだ足らんし  しかしそうなると6層編映像化は望み薄かかなり先になるか・・・,2019/01/04 19:39:41
27,ID:205mDVbrd,6層映像化は内容的にも厳しいだろうなぁ,2019/01/04 19:43:21
28,ID:qvuq+m9V0,OVAでやっていくという手もある  実際それについていく固定ファンはかなり付いただろうし,2019/01/04 19:44:33
29,ID:LILDJ3EM0,続編劇場版おめでとうございます  たぶんうちの地方ではやらないので早めの円盤化をお待ちしております,2019/01/04 19:47:43
30,ID:78nmXK0z0,ななちんちんはインコ味,2019/01/04 19:50:04
31,ID:w6pKWWKc0,アビス自体も誰かの願いから出来たのだろうか。  ヒト向けの大きな収集装置だと思うと、すごく怖い。,2019/01/04 19:50:34
32,ID:k15903CLM,ベラフの即翻訳とかワズキャンの予知とか神がかり的すぎて「三賢って異物を持つものをまとめて呼んでるんじゃないの」と思ってしまった,2019/01/04 19:57:36
33,ID:AwfHT90mH,前スレ終了間際に貼られたので改めて貼っておく…   TVアニメ「メイドインアビス」公式 @miabyss_anime (2019/01/04 18:01:00)  新作エピソードのタイトルは、「劇場版メイドインアビス 深き魂の黎明」に決定！  ティザービジュアルを公開！  お楽しみに… #miabyss  https://pbs.twimg.com/media/Dvf3ySwU8AAIeyW.jpg  http://twitter.com/miabyss_anime/status/1081113253290360833  https://twitter.com/5chan_nel (5ch newer account)  https://twitter.com/5chan_nel (5ch newer account),2019/01/04 19:59:29
34,ID:xmwxgkPvM,パパ・・・・・・あたし・・・・・・パパの活躍する映画が見たい・・・・・・,2019/01/04 20:01:07
35,ID:E6LNJSrP0,最初から5.1chなのはいいよね  公開は逸になるのかなぁ  2020年だろうか,2019/01/04 20:03:07
36,ID:rfYvPaPM0,映画の総集編って新規カットとかあったりする？  あるなら見に行こうかな,2019/01/04 20:03:27
37,ID:kIaTNBWu0,いちおつんなぁ～,2019/01/04 20:04:03
38,ID:mQeVAaWzd,何だったか忘れたけど時計なし日の光なしで長期間過ごすと時間感覚が狂うという実験を見た  アビスの浦島現象も現実的にあり得るのかも,2019/01/04 20:08:31
39,ID:xmwxgkPvM,>>37  開始数分の導入は新規。アンハードベル探索に向かうライザ・オーゼン隊がちょろっと出る  あとはアニメの切り貼りだけどキャラの表情の動きがBDよりよく見えた。これは加筆か劇場効果か分からん,2019/01/04 20:13:37
40,ID:Af4UTWqy0,イルミューイの願いのひとつが、ヴエコ救済・ヴエコと一緒に居たいだとしたらヴエコが村から出たら村は崩壊するのかな  成る程なぁ、それがヴエコを目の奥に捕まえた理由か。,2019/01/04 20:14:52
41,ID:4vsb8kct0,立川までのアクセス悪いんだよなぁ,2019/01/04 20:17:50
42,ID:e9m82+Rf0,ボンドラ、プルシュカがこぼれちゃう、もぎもぎファプタまでならギリギリおｋだったかもしれんが、  産む機械イルミューイはさすがに問題になりそうか,2019/01/04 20:32:07
43,ID:Mj0/IJuLd,>>39  力場が光を取り込んでしまうからな  >>42  新宿でよくね？,2019/01/04 20:35:27
44,ID:U5Fqe9rzd,言うほどおkか？,2019/01/04 20:35:49
45,ID:ckN35P3N0,磨り潰しミーティがいいならわりと大丈夫そうだけどどうなんだろ？,2019/01/04 20:42:17
46,ID:EdH+We07a,マジで倫理的にマズいレベルのものはないと思う  その直前で留まってるような気がする,2019/01/04 20:43:57
47,ID:78nmXK0z0,男の子がメイド服はアカン,2019/01/04 20:49:23
48,ID:KTGJwV880,>>37  トーカのショタ声がよかった,2019/01/04 20:49:27
49,ID:OpsseTdj0,4chのアビススレっていつも立ってて、いつもすごい数レスついてるけど、あれ日本人がやってるのか？,2019/01/04 20:50:23
50,ID:g1Tdk4XE0,>>18  行くだけだったらボ卿の直行便があるし,2019/01/04 20:51:40
51,ID:Wei7eglX0,トーカさんあんな可愛いのに、ハボさん並みに探掘経験や技術を積んでライザと同行してると思うと可愛い,2019/01/04 20:58:00
52,ID:N6/s8nLF0,あ、音楽は新規がいつくかあるし、声周りは取り直してるらしいソースはパンフレット,2019/01/04 20:59:56
53,ID:jksQxtSv0,マルルクのドリンクはさっぱりとした味わい,2019/01/04 21:00:25
54,ID:u4IGMz0T0,まあでも考えてみたら、約20分12話+13話の1時間の合計5時間を4時間（2時間×2）に縮めてるだけなので  そんなに本編から省略されないのか,2019/01/04 21:07:49
55,ID:KTGJwV880,今年は忙しくて無理そう  パンフレットだけ貰ってくるか…,2019/01/04 21:11:31
56,ID:yAUr/X480,一話のレグを孤児院に連れ帰るあそことか、ナキカバネを食べて死生観を語るシーンとか  そこ切るんだ？ってのも結構あったけどね  オーゼンのセリフ全般はセリフとセリフの間を短く編集してるように思った  アニメーションの追加や描き直しはオーゼンがレグを床に叩きつけるところが動画になってるのと、「レグが壊れちゃう」って駆け寄るリコがこけそうになる走り方してたってくらいしか気づかなかったな,2019/01/04 21:19:19
57,ID:Wei7eglX0,1層ハボさんの登場の仕方も突発的な感じになってたね  あと>>57あたりでぐったりレグに集中線つけて号泣するリコのシーンが音響のせいで迫力増してて笑った,2019/01/04 21:28:11
58,ID:+3GGJJn1d,見終わった、細かいところで新規カットがあった気がする、オーゼン戦のテンポや緩急が良くなってた気がする、比べてないからわからんが。,2019/01/04 21:28:52
59,ID:sDWlBkCAM,総集編は冒頭5分に新規カットあったり、新録BGMあったりと割と楽しめたわ  あと動きは確実によくなってると思う  オーゼンVSレグのとことかTV版だともっさりしてるなーと少し違和感あったけど、そういうのが無くなって迫力出てたし  ボ卿とのバトルも期待出来そうな感じだった,2019/01/04 21:32:23
60,ID:/sQ/cLew0,>>49  トーカ台詞あったことに驚き,2019/01/04 21:34:52
61,ID:+3GGJJn1d,問題はいつ続編が来るかよねぇ、大衆(？)の映画熱が冷める前にお願いしたい、来月でもいいですよ。,2019/01/04 21:37:34
62,ID:Ryyhe3sl0,子供食ってみんな治ったん？,2019/01/04 21:40:32
63,ID:fVmPOCTX0,逆レライザはいいぞ,2019/01/04 21:42:36
64,ID:sXm3CZuj0,夜はトーカが主導権握るのもよし,2019/01/04 21:48:45
65,ID:xn8CDDy2d,股間の無尽鎚がもの凄くてライザのアビスを毎晩ラストダイブしちゃうんだろ,2019/01/04 21:51:21
66,ID:RzuQQO5A0,治ったのだろうか  イルミューイの純粋な願いを遺物がアレしてコレしたら  水もどきに対する強い抵抗性を持った人以外の何かになったのかもw,2019/01/04 21:54:59
67,ID:BdoQbldN0,>>65  トーカは作者やオーゼンから間抜け面扱いされてるけどライザはトーカのどこに惚れ込んだのか？   ライザとトーカの馴れ初めは気になる,2019/01/04 21:56:05
68,ID:BdoQbldN0,物語において父親、母親の存在はデカいと思いますが,2019/01/04 21:57:16
69,ID:VhOydNSCa,そりゃ上手い料理(意味深)作れるからでは,2019/01/04 21:58:45
70,ID:AG/rVc1Hr,正直総集編は好きじゃないから貢献できないけど、新作の映画なら大歓迎で見に行くんよ  せめて年内にやってくれると嬉しいけどなぁ,2019/01/04 22:04:04
71,ID:KjGpMhn10,>>71  新録パートあるよ,2019/01/04 22:10:35
72,ID:78nmXK0z0,マルルクに逆レされたいだけの人生だった,2019/01/04 22:15:32
73,ID:BdoQbldN0,マルルクの服装はオーゼン師匠の趣味なのか？,2019/01/04 22:16:48
74,ID:qp+Ffj9V0,あの生き返る遺物があればマルルクで無限にお医者さんごっこできない…？,2019/01/04 22:20:41
75,ID:vnQd8BHWd,ミニ色紙マルルクちゃんだったよウフフ,2019/01/04 22:34:45
76,ID:njF2eCWT0,>>68  ライザとトーカぜんぜんチガいそうな者どうしがなぜ結婚したのかきになりますね  生き物は自分に無い遺伝子をとりこみたい  つまり本能的に自分に似てない相手を求めるみたいな説を見たようなきがしないでもない,2019/01/04 22:50:21
77,ID:e9m82+Rf0,※68  まさか出来ちゃった婚とかじゃ,2019/01/04 22:54:54
78,ID:njF2eCWT0,破天荒で有名なライザさんだけどHなウワサはないようだ  Hなことはトーカ相手にだけだったのだろうか・・・,2019/01/04 23:04:19
79,ID:BdoQbldN0,>>70  >>77  料理の旨い血は確実に受け継がれてますね  顔つきもトーカよりだし,2019/01/04 23:10:55
80,ID:BdoQbldN0,>>79  そういえばヴエコのお世話係ってガンジャ隊の中でも性処理の仕事をしてたのだろうか？  さすがにそれはないか,2019/01/04 23:12:45
81,ID:KjGpMhn10,まさに性処理のお仕事してるコマあったじゃん,2019/01/04 23:13:55
82,ID:aD25jeC/0,error_code:006   って表示されて最新話が見れないんだけど、分かる人いる？,2019/01/04 23:36:52
83,ID:78nmXK0z0,※68って何？,2019/01/04 23:40:05
84,ID:0T036SJ60,火狐でそれ出たからクロムで見たわ,2019/01/04 23:42:43
85,ID:Ryyhe3sl0,生んだ動物は一体なんなの？  あれが水の子供？  の割になんか不遇だが,2019/01/04 23:44:27
86,ID:aD25jeC/0,>>85  まさにファイアーフォックスだった  クロムで見れた  まじサンクス,2019/01/04 23:48:09
87,ID:c71PB88E0,>>86  あれすでに残念ながら願望が色々混ざってるんや  「赤ちゃん」やなくてあの途中で食われたペットなんや・・,2019/01/04 23:53:58
88,ID:Ryyhe3sl0,>>88  食われたペットってなんだ？,2019/01/04 23:54:40
89,ID:AbKpFhSs0,前話でイルミュールが途中で捕まえたウサミミの生き物おったやろ  あれや,2019/01/05 0:01:28
90,ID:qX2jkZ6r0,ヤドネ,2019/01/05 0:01:30
91,ID:PNuks/tLp,マジかわいい,2019/01/05 0:22:51
92,ID:1ZocaJBI0,歯牙はかなり鋭い  食おうとしたらめっちゃ血が出た,2019/01/05 0:23:49
93,ID:O8rOUS030,ヤドネって結局どうやってあの環境で生き延びてきたんだよ,2019/01/05 0:34:04
94,ID:UcOCXA4t0,ヤドネが何故生きてたかは謎やね,2019/01/05 0:34:35
95,ID:1VAYVXMp0,ヤドネに対する不信感が更に強まったんなぁ,2019/01/05 0:36:44
96,ID:rhn8edsD0,実はカワイイ好きな生物が多い説,2019/01/05 0:52:10
97,ID:AbKpFhSs0,大きくて強い生き物に保護されるような行動とるんやないか？  4層のタマウガチもあれ草食やろ？  6層の危険生物も縄張り侵すと攻撃してくるけど  肉食やないのもおるんやないか？,2019/01/05 0:56:00
98,ID:UcOCXA4t0,ヴエコが手首縛られてるシーンよく見たら、キツすぎて血が出てるんですね   描写がエグすぎる,2019/01/05 1:05:32
99,ID:QoyGltQv0,早くて更新2月だろうか  人間逆さまにしたような村のマークを誰が考えたのかとか意味とか村の成り立ちを早く知りたい,2019/01/05 1:10:17
100,ID:OFwe3LZX0,ﾅﾅﾁﾅﾅｺ絵柄うーん,2019/01/05 1:12:55
101,ID:y7WaiRf/0,>>98  メスライオンが捕まえた子牛を殺すのをためらい、舐めてかわいがった後群れに返す動画見たことある  か弱くて愛らしいことが生存戦略だったら面白いよね,2019/01/05 1:18:14
102,ID:qX2jkZ6r0,2巻のカバーもヤドネよね,2019/01/05 1:21:20
103,ID:w9IuFHaq0,このスレのせいでヤドネ見てビックリしてるベラフさんが「何コレ食べちゃいたいぐらい可愛い！」って表情にしか見えなくなってしまった,2019/01/05 1:36:26
104,ID:fSRMoyqx0,（θωθ）…んなぁ…総集編前編にも一応出してもらえたが…セリフねぇし…,2019/01/05 1:52:57
105,ID:T16qNwWWa,喫っちゃいたいくらい可愛いミーティ,2019/01/05 1:59:07
106,ID:b8z1ebLl0,マルルクのちんちんから赤ちゃん産ませたい,2019/01/05 1:59:31
107,ID:eZE7b68l0,目の奥が村の下の方にあったから人マークがひっくり返ってるのかな？,2019/01/05 2:02:58
108,ID:D6HyPO91d,ナットのゲロシーンがカットされてるってこれマジ？  激萌えシーンなのに…,2019/01/05 2:25:37
109,ID:TgVCol1S0,人間のかたちを残してる人なんていないのに謎のマーク,2019/01/05 2:42:18
110,ID:vGiWSCQMp,ヴエコとイルミュを陰から見守るベラフのイケメンっぷりがヤバいね！,2019/01/05 3:17:44
111,ID:bLTrwajk0,>>110  あの村では人の子供がより高い価値を持つことと、リコさんナナチレグ絵につけられた印を見る限り、人型マークに近いほど価値が高いことを表しているのでは？,2019/01/05 4:04:06
112,ID:kVhrgnVC0,>>108  出産シーンのプリミティブアートにこんなんがあって産み落とされる赤ん坊のシンボルなのかなって  ttps://stat.ameba.jp/user_images/20180614/18/nijiiro-ongakukan/b6/a6/j/o0720096014211018067.jpg?caw=800,2019/01/05 4:38:38
113,ID:0QOoDHgn0,なんか既視感あると思ったらBloodborneで女NPCが産んだ異形の赤子を殺してへそのを奪って食ったところだ   >>99  何で生きてんだこいつってレベルの虐待されてるよな,2019/01/05 5:46:22
114,ID:EKbSgYLFa,ワズキャンもベラフも外面を格好良く描けば描くだけ内面の変態畜生ぶりが際立つというわけか,2019/01/05 6:57:55
115,ID:vgvqSomla,>>114  じゃあイルミューイを殺れば三本目のへその緒がドロップするのか  上位者狩り…上位者狩り…,2019/01/05 7:10:41
116,ID:UcOCXA4t0,>>114  ヴエコが受けた虐待って普通に人格歪むレベルですよね  よくあの優しさを保ててると思った   トラウマ植え付けられて卑屈にはなってるけど,2019/01/05 8:15:05
117,ID:l8ymFlEAa,汚じさんにとったらいつもの喫ヴエコ,2019/01/05 8:19:55
118,ID:0hM3IZh/0,>>116  この先に変態が待っているんだ…,2019/01/05 8:19:57
119,ID:UcOCXA4t0,ヴエコの目の下のクマみたいなのは虐待のせいなのか？  それとも生まれつきなのか？,2019/01/05 8:22:48
120,ID:UcOCXA4t0,>>114  多分、虐待の限りは尽くしたが、死なん程度に食事は与えてんたじゃないかな？  う～んゲスすぎる,2019/01/05 8:24:19
121,ID:0IBKngvXd,4才くらいの子供つれて映画見に来てるお母さんいるんだが大丈夫かな？  息子さん変な性癖ついちゃわないかな？,2019/01/05 8:38:52
122,ID:9N9ohePc0,小さすぎて腹の足しにもならないから個別に生きてる分にはほとんど狩られないんでないかな  といってもマトモな水場も草地もなしではスカヴェンジャーとして生きてる可能性くらいしかないが,2019/01/05 8:39:38
123,ID:CqPkD/4/0,繁殖力が異常に高いと生き延びられるよね,2019/01/05 8:52:25
124,ID:UcOCXA4t0,>>122  絵は子供向け(内容が子供向けとは言ってない),2019/01/05 8:58:26
125,ID:yHdo6RO2r,>>18  おマ読？,2019/01/05 8:58:59
126,ID:ioNl53600,ネリタンタンもひたすら捕食される側だけどやたら数多いし  ヤドネも繁殖力で頑張ってるのかもね,2019/01/05 9:04:09
127,ID:q3Vz0hTo0,ロボショタはもともと黄金郷に住んでたん？,2019/01/05 9:06:28
128,ID:q3Vz0hTo0,アビスの底って結局なにがあるんだろうね,2019/01/05 9:06:55
129,ID:qbXYiltq0,小動物だから人間よりも隠れるのに使える場所多いだろうし、食うものと住むところが同じライバルが居なければ割と生き残れるんじゃね  人間に対して大人しいのは力場を読んでるからだと思う、尚ライザ,2019/01/05 9:12:38
130,ID:9N9ohePc0,繁殖力を支える更に下位の捕食対象が無いと無理でないかな  植物もろくに無いし、虫が多そうでもない,2019/01/05 9:13:26
131,ID:lhW80rX9a,果実食べるんじゃなかったか？,2019/01/05 9:25:30
132,ID:q3Vz0hTo0,水がないって湿度どんぐらいなんだろうねあそこらへん,2019/01/05 9:27:53
133,ID:A4ultoRaM,映画観にいくか迷ってる俺の背中を押して欲しい  総集編かぁ っていう尻込みを消してくれ,2019/01/05 9:31:30
134,ID:UcOCXA4t0,>>134  感想聞かせてくださいよ！,2019/01/05 9:33:07
135,ID:06LWra5M0,なんＪ以外の場所でなんＪのノリで文章打っちゃう奴はたいがいアレ,2019/01/05 9:48:12
136,ID:DQvZnggBa,Jのハテ  https://i.imgur.com/5jYyoKX.png,2019/01/05 9:52:50
137,ID:q3Vz0hTo0,ラストダイブって間に海あるんだし地上との連絡無理だよな？  なんで地図あるんだろう,2019/01/05 10:03:54
138,ID:XmX+QOUx0,>>134  トーカが喋る,2019/01/05 10:06:22
139,ID:9BZLDrMU0,ｷｬｰｼｬﾍﾞｯﾀｰ,2019/01/05 10:10:50
140,ID:sj8KWgEJ0,>>50  読んでるけど、日本人は1割くらいと見た  内容はここと変わらん,2019/01/05 10:14:18
141,ID:xhTm7zSl0,>>76  おめでとうマルルクちゃんが持ってるのはレグのパンツだよ（つくし卿談,2019/01/05 10:14:38
142,ID:bXFlAaG0a,新カット新キャラってトーカのこと？,2019/01/05 10:15:13
143,ID:A4ultoRaM,>>136  ごめん、今後気を付けるよ  でも迷ってるのは本当なんだ,2019/01/05 10:19:49
144,ID:bUhFAtcOM,>>138  6→5なら地図だけ載せてエレベーター起動すればいけないかな  それか祈手の同期で共有するかか,2019/01/05 10:22:34
145,ID:dippe5jLr,>>125  ジョジョみたいな画風だったらよかったのにな‥‥,2019/01/05 10:53:42
146,ID:trVbAzwqM,宿主に寄生して根をはるからヤドネ？,2019/01/05 10:56:01
147,ID:06LWra5M0,>>144  いや、君には言ってないが…,2019/01/05 10:57:30
148,ID:A4ultoRaM,>>148  あ、そうなんか  俺のレス直後だったから誤解したわ,2019/01/05 11:04:39
149,ID:KdrzYJ/gF,>>136  すいません  次からはなんj語は使いません,2019/01/05 11:06:12
150,ID:QJVzzUqmd,いま総集編見にいくとつくし先生の描き下ろし色紙もらえるよ(4種ランダム)  服が脱げてるリコとそれに赤面してるナットかわいい,2019/01/05 11:06:42
151,ID:KdrzYJ/gF,ナットくんは完全に好きな娘に意地悪しちゃう男の子ですよね  リコも罪な女よ,2019/01/05 11:08:17
152,ID:n44wXNby0,ファプタ=ライザ,2019/01/05 11:08:23
153,ID:W5S39Wwya,ネタバレになるなら言わなくていいけど前半はどこらへんの話までやるの？,2019/01/05 11:28:06
154,ID:BJtrnZYN0,>>154  大断層直前,2019/01/05 11:29:04
155,ID:q3Vz0hTo0,ベラフってなんで性格変わったんだろうね,2019/01/05 11:40:37
156,ID:W5S39Wwya,>>155  アニメでいうと8話くらいか  最終話が1時間とするとちょうど半分やったのね,2019/01/05 11:42:02
157,ID:CqPkD/4/0,>>134  テレビやスマホの画面で観るのとは別次元の体験で  ファンを作品世界の深淵に引きずり込みます   立川行くの決めた。,2019/01/05 11:42:34
158,ID:v3ozKYGe0,お師様のかっこいいシーン追加されてるのかな,2019/01/05 11:45:45
159,ID:KdrzYJ/gF,>>156  成れ果てた結果気が狂ってしまったんじゃないですかね  ミーティと比べなまじ知性がある分キツイと思います,2019/01/05 11:59:11
160,ID:cHaKDi9hd,ダブチとナナチって似てるよね,2019/01/05 12:01:22
161,ID:2+3LRw2Z0,マルルクのフルーツジュース飲みたい,2019/01/05 12:07:03
162,ID:tM3b13ctd,マルルク一番搾り,2019/01/05 12:10:08
163,ID:q3Vz0hTo0,時間差どんぐらいあるんだろうね村と地上って   成れはてになると不老になるのか？,2019/01/05 12:11:10
164,ID:Cwdnvzd0a,なんＪなんてほとんど成れ果て村みたいなもんじゃん,2019/01/05 12:27:04
165,ID:GB9intXI0,やきうをすることが価値のお兄ちゃん達は出ていってよ！(`･ω･´),2019/01/05 12:36:12
166,ID:bLTrwajk0,マルルクシェイク バニラ味,2019/01/05 12:36:22
167,ID:gHyvpp7op,ガンキマス釣りナナチのフィギュアがめちゃくちゃ出来よさそうで、初めてフィギュアというものに手を出してしまいそうだ  調べてたらコトブキヤのナナチも出来が良いらしいけど、持ってる人の声が聞きたいな,2019/01/05 12:36:31
168,ID:omjLDUWj0,>>168  いいぞーこれ  ねんどろいども早く来てくれよなー,2019/01/05 12:40:06
169,ID:kOMWrbSOp,コトブキヤはどのフィギュアも品質高いからとりあえず買っておくことをお勧めする  予約締切後はクソ転売で1.5倍の値段になるし,2019/01/05 12:47:11
