スレ数,ID,コメント,投稿時刻
120,ID:/8X9bUPbd,>>85  遅レスだが、結論から言うと、医学にはあんま貢献しない  人間って生育状況や食べてるものがみんな違うので、再現性が低いんだ  大人を何かを捕らえて実験しても、食事や住居を何もかも良くしないといけない(ストレス状況で実験結果が変わる)のでコストだけがかかる  だから、実験用動物(遺伝子や生育状況が一定)で試してあたりをつけて、そこから人間で臨床データをとる方が最終的なコストが安かったりする,2019/02/06 10:06:45
121,ID:/g4A3Aesx,>>119  合ってるb,2019/02/06 10:27:34
122,ID:B9ZVGI310,女  ふたなり  チンコが生えた女(おとこの娘)  女装  男   ホモでは？,2019/02/06 10:32:59
123,ID:sTotnpR+a,間違えることもあるよねェ…,2019/02/06 10:40:36
124,ID:u0Q4qURp0,バンコラン,2019/02/06 10:42:08
125,ID:kKPRfSYU0,何故twitterでアナウンスしないか理由を考えられる頭があれば匿名掲示板にリンク貼るなんて真似しないんだろうな  昨日も急に物語の根幹に関わる質問し出す奴いたし,2019/02/06 10:57:19
126,ID:tq+0R4S+0,>>122  サンクス,2019/02/06 10:58:37
127,ID:ctV82Rfl0,エロ漫画家のTwitter見てるとその人の作品で抜けなくなる現象を体験してから漫画家のSNSはあまり見ないようにしてる  特に政治とか絡まない普通のツイートでも生活感感じるとあかんのよね,2019/02/06 11:41:34
128,ID:SsE/lHxDd,>>128  クラスメイトはオカズにできない的な？,2019/02/06 11:51:02
129,ID:U/KdVa/O0,>>109  それは基本がケモナーのルート派生、同じように初期性癖が違う場合はルートも変わる  俺が書いたのはあくまでもロリからの派生ねｗ   真性はあらゆる属性に揺るがず、ずっと初期性癖のままで派生が発生しない   あとショタをホモと言う輩は死んでいい,2019/02/06 12:00:47
130,ID:u0Q4qURp0,作家の人間性と作品は分けて考えられないとSNSは見に行かない方が良い  たとえ普段からウンコとかケツ舐めたいとか言ってても作品は素晴らしいんですよ,2019/02/06 12:03:45
131,ID:nmDlEnaIa,>>128  繊細やな,2019/02/06 12:04:06
132,ID:h92e5Zpga,>>129  クラスメイトの30年前の写真が今でもオカズだ,2019/02/06 12:05:13
133,ID:ZOpkgmiZ0,>>103  （×）,2019/02/06 12:06:32
134,ID:MiLWaMVfd,ケツ穴かな？,2019/02/06 12:11:12
135,ID:iwVBKSLa0,メイニャの匂いは作中では「くさい」としか出てこないがどんな匂いなんだ・・・  「目の奥」に降りるときに嗅いだりしてるし、ものすごくくさくはないんだろう,2019/02/06 12:42:48
136,ID:fHj/RGeLp,モフモフ具合からナナチのワキの臭いと同等であると推測,2019/02/06 12:47:06
137,ID:RiD+kue10,ヘソのゴマとか足の爪の匂いしそう,2019/02/06 12:47:49
138,ID:6wA8VHywd,>>129  クラスメイトの30年前の写真が今でもオカズだ   わかりみすぎるソス  返ってクラスメイトとか近しい人程  妄想が捗るんな～,2019/02/06 12:55:32
139,ID:qTe2/YRla,リコさんによると、メイニャはプルシュカ臭いらしいよ,2019/02/06 13:10:07
140,ID:H1X7sVY5d,つまりプルシュカは臭い,2019/02/06 13:33:22
141,ID:H6lohLTud,年頃だから色々あるのよ  その結果臭くなっても仕方ない年頃なんだから,2019/02/06 13:37:06
142,ID:VdiYcXk20,臭い（いい匂い）,2019/02/06 13:40:56
143,ID:5Aj2oOM80,俺も喫メイニャしたい,2019/02/06 14:10:08
144,ID:iwVBKSLa0,おおっと  プルシュカとほぼ同年齢なのにレグや読者に裸をご披露なさるリコさんの悪口はそこまでは,2019/02/06 14:51:39
145,ID:RiD+kue10,リコさん絶対やさしくないうんこの匂いするわ,2019/02/06 14:57:22
146,ID:PhjDaFDu0,でもリコのほうがプルシュカよりエッチな体つきしてそう,2019/02/06 15:07:00
147,ID:qi9Tl86m0,>>147  おっぱいのサイズはプルシュカのが上だったな,2019/02/06 15:07:41
148,ID:qbxkxxLWa,べラフは喫べラフしないの,2019/02/06 15:21:15
149,ID:ncjUlrR10,ンコさんはスカトロ担当だよ  ブリブリひり出してジョバジョバ垂れ流すよ,2019/02/06 15:56:04
150,ID:sTotnpR+a,富田さんは収録前に必ずカレーを食べるらしいじゃないか,2019/02/06 15:58:29
151,ID:fHj/RGeLp,話が進んだら  まあぁさんやエンベリーツさんの  慣れ果て課程が分かるんだろうか,2019/02/06 17:27:03
152,ID:iwVBKSLa0,絶賛回想中で忘れられつつあるけど、  ナナチはまだ買い戻せてない（あのファプタの一部で買い戻せる？）し、  なぜファプタがあんなにもやすやすと身体の一部をくれるのかもわかんないし、  ファプタはレグの何なのかも不明だし、現代にも謎はまだいっぱいあるよ,2019/02/06 17:40:42
153,ID:zR7wo9Ya0,イルぶるは、ガンジャ隊、  イルミューイと同じ悠遠の文字を使う人ら  探窟家の慣れ果て  が混じってそうだけど、  最古参は公用語つかう三賢のガンジャなのに  悠遠の文字使う奴がマジョリティなの謎,2019/02/06 17:47:53
154,ID:LxbbzpLta,6層到達のネックが白笛による祭壇の稼動だとして  ガンジャ隊も利用したあの成れ果てがとある時期から居なくなったとすれば  昔は比較的容易に来れていたがこの2000年は難しくなっていた可能性もある,2019/02/06 18:01:14
155,ID:MDYXVxwjp,ここ2000年は度し難くなってた！？,2019/02/06 18:07:52
156,ID:dzmERYFNp,8000年をすぎたころからもっと度し難くなった,2019/02/06 18:27:12
